whisky,meta_critic,stdev,#,cost,class,super_cluster,cluster,country,type,alt_brand
Johnnie Walker Explorer’s Club The Royal Route,8.33,0.42,7,$$$$$,Scotch-like,,,Scotland,Blend,club explorers johnnie route royal the walker
The Irishman Founder’s Reserve,8.32,0.38,6,$$,Scotch-like,,,Ireland,Blend,founders man reserve
Suntory Old Whisky,8.3,0.33,7,$$$,Scotch-like,,,Japan,Blend,old suntory
Bank Note 5yo Blended Scotch,8.28,0.58,4,$,Scotch-like,,,Scotland,Blend,5 bank blended note
Johnnie Walker Gold Label Reserve,8.28,0.34,16,$$$$,Scotch-like,,,Scotland,Blend,gold johnnie reserve walker
Johnnie Walker Black Label,8.27,0.46,22,$$,Scotch-like,,,Scotland,Blend,black johnnie walker
Jameson Caskmates,8.26,0.57,7,$$,Scotch-like,,,Ireland,Blend,caskmates jameson
Black Bottle (pre-2013),8.23,0.5,13,$$,Scotch-like,,,Scotland,Blend,2013 black bottle pre
Compass Box Asyla,8.22,0.5,12,$$$,Scotch-like,,,Scotland,Blend,asyla box compass
Chivas Regal 18yo,8.2,0.54,13,$$$$,Scotch-like,,,Scotland,Blend,18 chivas regal
Bain's Cape Mountain Whisky,8.18,0.5,7,$$,Scotch-like,,,South Africa,Grain,bain cape mountain
Suntory Toki,8.17,0.46,6,$$$,Scotch-like,,,Japan,Blend,suntory toki
The Irishman Original Clan Irish Whiskey,8.16,0.22,4,$$,Scotch-like,,,Ireland,Blend,clan man original
Famous Jubilee,8.15,0.12,3,$$,Scotch-like,,,Scotland,Blend,famous jubilee
Kakubin (Suntory Whisky),8.15,0.87,4,$$,Scotch-like,,,Japan,Blend,kakubin suntory
Teeling Poitin,8.14,0.24,5,$$,Scotch-like,,,Ireland,Blend,poitin teeling
Kilbeggan 8yo Single Grain (Greenore),8.13,0.39,11,$$,Scotch-like,,,Ireland,Grain,8 grain greenore kilbeggan single
Powers Signature,8.13,0.6,3,$$$,Scotch-like,,,Ireland,Blend,powers signature
Catto's Rare Old,8.11,0.77,5,$,Scotch-like,,,Scotland,Blend,catto old rare
Tullamore Dew Blended 12yo,8.07,0.29,8,$$$,Scotch-like,,,Ireland,Blend,12 blended dew tullamore
Yamazakura 16yo Blended Whisky,8.07,0.53,3,$$$$$,Scotch-like,,,Japan,Blend,16 blended yamazakura
Three Ships 5yo,8.05,0.5,9,$,Scotch-like,,,South Africa,Blend,5 ships three
2 Gingers Irish Whiskey,8.04,0.36,3,$$,Scotch-like,,,Ireland,Blend,2 gingers
Cutty Sark Storm,8.03,0.51,8,$,Scotch-like,,,Scotland,Blend,cutty sark storm
West Cork Original Irish Whiskey,8.01,0.5,3,$$,Scotch-like,,,Ireland,Blend,cork original west
Famous Grouse Smoky Black (Black Grouse),7.98,0.47,19,$$,Scotch-like,,,Scotland,Blend,black black famous grouse grouse smoky
Powers Gold Label,7.98,0.53,11,$$,Scotch-like,,,Ireland,Blend,gold powers
White Oak Akashi Blended,7.97,0.41,6,$$$,Scotch-like,,,Japan,Blend,akashi blended oak white
Teacher's Highland Cream,7.95,0.77,10,$,Scotch-like,,,Scotland,Blend,cream highland teacher
Grant's Blended Sherry Cask,7.94,0.18,5,$,Scotch-like,,,Scotland,Blend,blended cask grant sherry
Dewar's 12yo,7.91,0.28,12,$$,Scotch-like,,,Scotland,Blend,12 dewar
Islay Mist 8yo,7.91,0.46,9,$,Scotch-like,,,Scotland,Blend,8 islay mist
Jameson Lively Irish Whiskey,7.91,0.39,3,$$$$,Scotch-like,,,Ireland,Blend,jameson lively
Compass Box Orangerie,7.9,0.8,7,$$,Scotch-like,,,Scotland,Blend,box compass orangerie
Johnnie Walker Explorer’s Club The Adventurer,7.88,0.06,3,$$,Scotch-like,,,Scotland,Blend,adventurer club explorers johnnie the walker
Jameson Irish Whiskey,7.82,0.51,19,$$,Scotch-like,,,Ireland,Blend,jameson
Black Bottle (after 2013 re-launch),7.79,0.39,10,$$,Scotch-like,,,Scotland,Blend,2013 after black bottle launch re
Tullamore Dew Blended,7.78,0.38,16,$$,Scotch-like,,,Ireland,Blend,blended dew tullamore
Chivas Regal 12yo,7.76,0.45,20,$$,Scotch-like,,,Scotland,Blend,12 chivas regal
Bushmills Original Blended,7.68,0.45,14,$$,Scotch-like,,,Ireland,Blend,blended bushmills original
Grant's Family Reserve Blended,7.63,0.65,13,$,Scotch-like,,,Scotland,Blend,blended family grant reserve
Famous Grouse,7.62,0.59,17,$,Scotch-like,,,Scotland,Blend,famous grouse
Ballantine's Finest,7.61,0.61,12,$,Scotch-like,,,Scotland,Blend,ballantine finest
Bell's Original Scotch Whisky,7.58,0.75,7,$,Scotch-like,,,Scotland,Blend,bell original scotch
Cutty Sark,7.5,0.45,14,$,Scotch-like,,,Scotland,Blend,cutty sark
Dewar's White Label,7.49,0.74,13,$$,Scotch-like,,,Scotland,Blend,dewar white
P&M Blended Whisky,7.46,0.96,5,$,Scotch-like,,,France,Blend,blended pm
Johnnie Walker Red Label,7.37,0.63,18,$,Scotch-like,,,Scotland,Blend,johnnie red walker
Whyte & Mackay Special Reserve,7.37,0.43,6,$,Scotch-like,,,Scotland,Blend,mackay reserve special whyte
J&B Rare,7.1,1.0,10,$,Scotch-like,,,Scotland,Blend,jb rare
Yamazakura Blended Whisky,6.62,1.16,3,$$$,Scotch-like,,,Japan,Blend,blended yamazakura
Booker's Rye,9.29,0.21,8,$$$$$+,Rye-like,,,USA,Rye,booker rye
Lot 40 Cask Strength,9.25,0.13,3,,Rye-like,,,Canada,Rye,40 cask lot strength
High West Rocky Mountain Rye 16yo,9.19,0.33,4,$$$$$,Rye-like,,,USA,Rye,16 high mountain rocky rye west
High West Rocky Mountain Rye 21yo,9.12,0.25,7,$$$$$+,Rye-like,,,USA,Rye,21 high mountain rocky rye west
Thomas H. Handy Sazerac,9.12,0.21,14,$$$$$+,Rye-like,,,USA,Rye,h. handy sazerac thomas
High West Midwinter Night’s Dram Rye,9.11,0.2,11,$$$$$,Rye-like,,,USA,Rye,dram high midwinter nights rye west
Gibson's Finest Rare 18yo,9.04,0.37,10,$$$$,Rye-like,,,Canada,Blend,18 finest gibson rare
J.P. Wiser's Legacy,9.03,0.36,15,$$,Rye-like,,,Canada,Blend,j.p. legacy wiser
Canadian Club 30yo,9.02,0.19,6,$$$$$,Rye-like,,,Canada,Blend,30 canadian club
Canadian Rockies 21yo (Batch 1/2),8.99,0.31,7,$$$,Rye-like,,,Canada,Blend,1/2 21 batch canadian rockies
"Forty Creek Confederation Oak (Batch C, D)",8.99,0.31,3,$$$,Rye-like,,,Canada,Blend,"batch c, confederation creek d forty oak"
Michter's Barrel Strength Rye,8.98,0.23,4,$$$$,Rye-like,,,USA,Rye,barrel michter rye strength
Van Winkle Family Reserve Rye 13yo,8.95,0.33,8,$$$$$+,Rye-like,,,USA,Rye,13 family reserve rye van winkle
Willett Family Estate 6yo Rye,8.94,0.18,4,$$$$,Rye-like,,,USA,Rye,6 estate family rye willett
Sazerac 18yo,8.93,0.35,13,$$$$$+,Rye-like,,,USA,Rye,18 sazerac
High West Rendezvous Rye,8.92,0.31,14,$$$$,Rye-like,,,USA,Rye,high rendezvous rye west
Lot 40,8.92,0.37,20,$$,Rye-like,,,Canada,Rye,40 lot
Amrut Rye,8.91,0.09,3,$$$$,Rye-like,,,India,Rye,amrut rye
Highwood Ninety Rye 20yo,8.89,0.24,9,$$,Rye-like,,,Canada,Blend,20 highwood ninety rye
High West Bourye,8.88,0.22,7,$$$$,Rye-like,,,USA,Blend,bourye high west
Forty Creek Evolution,8.85,0.63,7,$$$,Rye-like,,,Canada,Blend,creek evolution forty
J.P. Wiser’s Red Letter,8.85,0.36,11,$$$$,Rye-like,,,Canada,Blend,j.p. letter red wisers
Whistlepig 10yo,8.84,0.43,15,$$$$,Rye-like,,,Canada,Blend,10 whistlepig
"Forty Creek Confederation Oak (Batch A, B)",8.83,0.43,16,$$$,Rye-like,,,Canada,Blend,"a, b batch confederation creek forty oak"
Crown Royal Hand Selected Barrel,8.82,0.28,8,$$$,Rye-like,,,Canada,Blend,barrel crown hand royal selected
Masterson's Straight Rye 10yo,8.82,0.45,16,$$$$,Rye-like,,,Canada,Rye,10 masterson rye straight
Whistlepig The Boss Hog,8.82,0.28,9,$$$$$,Rye-like,,,Canada,Blend,boss hog the whistlepig
Forty Creek Heart of Gold,8.81,0.43,8,$$$$,Rye-like,,,Canada,Blend,creek forty gold heart of
Forty Creek Port Wood Reserve 2011/2012,8.81,0.27,9,$$$$,Rye-like,,,Canada,Blend,2011/2012 creek forty port reserve wood
Willett Family Estate 4yo Rye,8.81,0.49,7,$$$,Rye-like,,,USA,Rye,4 estate family rye willett
Michter's 10yo Single Barrel Rye,8.79,0.31,5,$$$$$+,Rye-like,,,USA,Rye,10 barrel michter rye single
Forty Creek Confederation Oak (All Batches),8.78,0.42,18,$$$,Rye-like,,,Canada,Blend,all batches confederation creek forty oak
J.P. Wiser's Union 52,8.78,0.15,4,$$$,Rye-like,,,Canada,Blend,52 j.p. union wiser
Crown Royal Monarch 75th Anniversary,8.75,0.49,9,$$$,Rye-like,,,Canada,Blend,75th anniversary crown monarch royal
Willett Family Estate 25yo Rye,8.75,0.53,3,$$$$$+,Rye-like,,,USA,Rye,25 estate family rye willett
Forty Creek Founder's Reserve,8.74,0.12,3,$$$,Rye-like,,,Canada,Blend,creek forty founder reserve
Millstone Rye 100%,8.74,0.32,8,$$$$,Rye-like,,,Netherlands,Rye,100% millstone rye
Century Reserve 21yo,8.73,0.21,10,$$,Rye-like,,,Canada,Blend,21 century reserve
Crown Royal XO,8.73,0.3,5,$$$,Rye-like,,,Canada,Blend,crown royal xo
Colonel E.H. Taylor Straight Rye,8.72,0.32,6,$$$$,Rye-like,,,USA,Rye,colonel e.h. rye straight taylor
Forty Creek Double Barrel Reserve,8.72,0.39,12,$$$,Rye-like,,,Canada,Blend,barrel creek double forty reserve
Willett Family Estate 3yo Rye,8.72,0.45,5,$$$,Rye-like,,,USA,Rye,3 estate family rye willett
Forty Creek Copper Pot Reserve,8.71,0.38,13,$,Rye-like,,,Canada,Blend,copper creek forty pot reserve
Pikesville Straight Rye,8.71,0.49,13,$$$$,Rye-like,,,USA,Rye,pikesville rye straight
Willett Family Estate Rye (all ages),8.7,0.29,12,$$$$,Rye-like,,,USA,Rye,ages all estate family rye willett
High West Double Rye,8.68,0.32,13,$$,Rye-like,,,USA,Rye,double high rye west
Gooderham & Worts Four Grain,8.67,0.27,10,$$,Rye-like,,,Canada,Blend,four gooderham grain worts
Michter's Single Barrel Straight Rye,8.67,0.45,10,$$$,Rye-like,,,USA,Rye,barrel michter rye single straight
Canadian Club 20yo,8.66,0.32,9,$$$,Rye-like,,,Canada,Blend,20 canadian club
J.P. Wiser’s 18yo,8.66,0.4,14,$$$,Rye-like,,,Canada,Blend,18 j.p. wisers
Russell's Reserve 6yo Rye,8.66,0.33,6,$$$,Rye-like,,,USA,Rye,6 reserve russell rye
Stalk & Barrel 100% Rye,8.66,0.23,5,$$$,Rye-like,,,Canada,Blend,100% barrel rye stalk
Jack Daniel's Single Barrel Rye,8.65,0.28,3,$$$,Rye-like,,,USA,Rye,barrel daniel jack rye single
Masterson's Straight Wheat 12yo,8.65,0.24,8,$$$$,Rye-like,,,Canada,Wheat,12 masterson straight wheat
Pike Creek 10yo Rum-finished,8.65,0.26,3,$$,Rye-like,,,Canada,Blend,10 creek finished pike rum
FEW Rye Whisky,8.64,0.54,7,$$$$,Rye-like,,,USA,Rye,few rye
Alberta Premium Dark Horse,8.61,0.37,15,$,Rye-like,,,Canada,Blend,alberta dark horse premium
Caribou Crossing Single Barrel,8.61,0.42,10,$$$$,Rye-like,,,Canada,Blend,barrel caribou crossing single
Alberta Rye Dark Batch,8.6,0.29,6,$$,Rye-like,,,Canada,Blend,alberta batch dark rye
Danfield's 21yo,8.6,0.57,12,$$,Rye-like,,,Canada,Blend,21 danfield
Jefferson's Straight Rye 10yo,8.6,0.39,7,$$$,Rye-like,,,USA,Rye,10 jefferson rye straight
Sazerac Straight Rye,8.59,0.46,13,$$,Rye-like,,,USA,Rye,rye sazerac straight
Crown Royal Northern Harvest Rye,8.57,0.37,16,$$,Rye-like,,,Canada,Blend,crown harvest northern royal rye
High West Yippee Ki-Yay,8.57,0.45,6,$$$$,Rye-like,,,USA,Rye,high ki west yay yippee
Rittenhouse Rye 100 Proof,8.57,0.24,15,$$,Rye-like,,,USA,Rye,100 proof rittenhouse rye
Collingwood 21yo,8.56,0.41,11,$$$,Rye-like,,,Canada,Blend,21 collingwood
"Forty Creek Confederation Oak (Batch E, F)",8.54,0.34,4,$$$,Rye-like,,,Canada,Blend,"batch confederation creek e, f forty oak"
J.P. Wiser's Small Batch,8.53,0.26,11,$,Rye-like,,,Canada,Blend,batch j.p. small wiser
Crown Royal Reserve,8.52,0.67,13,$$$,Rye-like,,,Canada,Blend,crown reserve royal
George Dickel Rye,8.52,0.36,12,$$,Rye-like,,,USA,Rye,dickel george rye
Knob Creek Small Batch Straight Rye Whiskey,8.52,0.42,16,$$$,Rye-like,,,USA,Rye,batch creek knob rye small straight
Jim Beam Pre-prohibition Rye,8.51,0.43,4,$,Rye-like,,,USA,Rye,beam jim pre prohibition rye
Masterson's Straight Barley 10yo,8.51,0.65,6,$$$$,Rye-like,,,Canada,Barley,10 barley masterson straight
High West Double Rye Campfire Barrel,8.49,0.3,4,$$$,Rye-like,,,USA,Rye,barrel campfire double high rye west
Forty Creek Barrel Select,8.47,0.43,16,$,Rye-like,,,Canada,Blend,barrel creek forty select
Woodford Reserve Straight Rye,8.46,0.25,8,$$,Rye-like,,,USA,Rye,reserve rye woodford
Willett Family Estate 2yo Rye,8.44,0.3,7,$$$,Rye-like,,,USA,Rye,2 estate family rye willett
Prichard’s Rye,8.43,0.31,3,$$$$,Rye-like,,,USA,Rye,prichards rye
High West Son of Bourye,8.41,0.44,10,$$$,Rye-like,,,USA,Blend,bourye high of son west
Potter's Special Old,8.41,0.43,4,$,Rye-like,,,Canada,Blend,old potter special
Stalk & Barrel Red Blend,8.41,0.49,4,$$,Rye-like,,,Canada,Blend,barrel blend red stalk
Stalk & Barrel Cask Strength Rye,8.4,0.55,4,$$$,Rye-like,,,Canada,Blend,barrel cask rye stalk strength
Canadian Club Reserve 10yo,8.38,0.62,9,$$,Rye-like,,,Canada,Blend,10 canadian club reserve
Wild Turkey 101 Rye,8.38,0.23,7,$$,Rye-like,,,USA,Rye,101 rye turkey wild
Crown Royal Cornerstone Blend,8.37,0.8,4,$$$,Rye-like,,,Canada,Blend,blend cornerstone crown royal
Centennial 10yo,8.36,0.41,6,$,Rye-like,,,Canada,Blend,10 centennial
Gibson's Bold 8yo,8.35,0.29,3,$,Rye-like,,,Canada,Blend,8 bold gibson
Canadian Club 100% Rye,8.34,0.44,14,$,Rye-like,,,Canada,Rye,100% canadian club rye
Pendleton 1910,8.34,0.49,8,$$,Rye-like,,,Canada,Blend,1910 pendleton
Century Reserve Lot 15/25,8.33,0.91,5,$,Rye-like,,,Canada,Blend,15/25 century lot reserve
Jack Daniel's Rested Tennessee Rye (Batch 1/2),8.33,0.49,4,$$$,Rye-like,,,USA,Rye,1/2 batch daniel jack rested rye
66 Gilead Crimson Rye,8.31,0.46,6,$$,Rye-like,,,Canada,Blend,66 crimson gilead rye
Yellow Rose Straight Rye,8.31,0.52,5,$$$,Rye-like,,,USA,Rye,rose rye straight yellow
J.P. Wiser's Double Still Rye,8.3,0.41,6,$,Rye-like,,,Canada,Blend,double j.p. rye still wiser
Alberta Springs 10yo,8.29,0.41,9,$,Rye-like,,,Canada,Blend,10 alberta springs
Crown Royal Limited Edition,8.29,0.19,10,$$,Rye-like,,,Canada,Blend,crown edition limited royal
Bulleit Rye,8.28,0.64,16,$$,Rye-like,,,USA,Rye,bulleit rye
Pike Creek 10yo Port-finished,8.28,0.51,12,$$,Rye-like,,,Canada,Blend,10 creek finished pike port
Forty Creek Three Grain Harmony,8.23,0.52,6,$$$,Rye-like,,,Canada,Blend,creek forty grain harmony three
Alberta Premium,8.21,0.6,11,$,Rye-like,,,Canada,Blend,alberta premium
Canadian Club Sherry Cask,8.21,0.6,8,$$,Rye-like,,,Canada,Blend,canadian cask club sherry
Crown Royal Black,8.2,0.5,16,$$,Rye-like,,,Canada,Blend,black crown royal
Hiram Walker Special Old Rye,8.2,0.37,9,$,Rye-like,,,Canada,Blend,hiram old rye special walker
Stalk & Barrel 11+1 Canadian whisky,8.2,0.43,16,$$,Rye-like,,,Canada,Blend,11+1 barrel canadian stalk
Canadian Club Classic 12yo (Small Batch),8.17,0.44,13,$,Rye-like,,,Canada,Blend,12 batch canadian classic club small
Highwood Ninety 5yo,8.16,0.7,6,$,Rye-like,,,Canada,Blend,5 highwood ninety
Canada Gold,8.1,0.67,5,$,Rye-like,,,Canada,Blend,canada gold
Coyote Ugly,8.1,0.5,5,$,Rye-like,,,Canada,Blend,cote ugly
Koval Single Barrel Rye,8.08,0.31,5,$$$,Rye-like,,,USA,Rye,barrel koval rye single
Canadian Mist Black Diamond,8.07,0.51,6,$,Rye-like,,,Canada,Blend,black canadian diamond mist
J.P. Wiser's Hopped Canadian Whisky,8.06,0.53,5,$,Rye-like,,,Canada,Blend,canadian hopped j.p. wiser
Gibson's Finest 12yo,8.04,0.71,10,$,Rye-like,,,Canada,Blend,12 finest gibson
Royal Canadian Small Batch,8.04,0.36,12,$$,Rye-like,,,Canada,Blend,batch canadian royal small
Canadian Club Reserve 9yo,8.02,0.45,5,$,Rye-like,,,Canada,Blend,9 canadian club reserve
Collingwood,8.02,0.32,8,$$,Rye-like,,,Canada,Blend,collingwood
Gibson's Finest Sterling,8.01,0.39,8,$,Rye-like,,,Canada,Blend,finest gibson sterling
Pendleton (Let'er Buck),8.01,0.49,14,$$,Rye-like,,,Canada,Blend,buck let'er pendleton
Templeton Rye,8.01,0.36,7,$$$,Rye-like,,,USA,Rye,rye templeton
J.P. Wiser’s Rye,7.98,0.45,8,$,Rye-like,,,Canada,Blend,j.p. rye wisers
Wayne Gretzky No. 99 Red Cask,7.97,0.41,4,$$,Rye-like,,,Canada,Blend,99 cask gretzky red wayne
Lohin McKinnon,7.95,0.06,3,$$$,Rye-like,,,Canada,Rye,lohin mckinnon
Rich and Rare Reserve,7.95,0.31,6,$,Rye-like,,,Canada,Blend,and rare reserve rich
Jim Beam Rye,7.93,0.65,9,$,Rye-like,,,USA,Rye,beam jim rye
J.P. Wiser's DeLuxe,7.87,0.7,10,$,Rye-like,,,Canada,Blend,deluxe j.p. wiser
Schenley Golden Wedding,7.87,0.71,9,$,Rye-like,,,Canada,Blend,golden schenley wedding
Seagram's VO,7.79,0.7,9,$,Rye-like,,,Canada,Blend,seagram vo
Black Velvet 3yo,7.76,0.88,9,$,Rye-like,,,Canada,Blend,3 black velvet
Silk Tassel,7.72,0.71,4,$,Rye-like,,,Canada,Blend,silk tassel
Rich and Rare,7.68,0.61,5,$,Rye-like,,,Canada,Blend,rare rich
Canadian Mist,7.62,0.63,11,$,Rye-like,,,Canada,Blend,canadian mist
8 Seconds,7.55,0.45,5,$$,Rye-like,,,Canada,Blend,8 seconds
Crown Royal,7.54,0.54,17,$,Rye-like,,,Canada,Blend,crown royal
Seagram's Canadian 83,7.34,0.84,7,$,Rye-like,,,Canada,Blend,83 canadian seagram
Canadian Club (Premium),7.29,0.82,16,$,Rye-like,,,Canada,Blend,canadian club premium
Proof Whisky,7.21,0.82,9,$$,Rye-like,,,Canada,Blend,proof
Black Velvet Deluxe,7.14,0.75,8,$,Rye-like,,,Canada,Blend,black deluxe velvet
Ellington Reserve 8yo,6.92,1.02,4,$,Rye-like,,,Canada,Blend,8 ellington reserve
Willett Family Estate 22yo Bourbon,9.34,0.09,3,$$$$$+,Bourbon-like,,,USA,Bourbon,22 estate family willett
Pappy Van Winkle Family Reserve Bourbon 20yo,9.25,0.35,12,$$$$$+,Bourbon-like,,,USA,Bourbon,20 family pappy reserve van winkle
Pappy Van Winkle Family Reserve Bourbon 15yo,9.24,0.25,10,$$$$$+,Bourbon-like,,,USA,Bourbon,15 family pappy reserve van winkle
Elijah Craig 21yo,9.18,0.19,4,$$$$$+,Bourbon-like,,,USA,Bourbon,21 craig elijah
William Larue Weller,9.18,0.25,11,$$$$$+,Bourbon-like,,,USA,Bourbon,larue weller william
George T Stagg,9.17,0.3,19,$$$$$+,Bourbon-like,,,USA,Bourbon,george stagg t
Four Roses Small Batch Limited Edition,9.1,0.22,13,$$$$$+,Bourbon-like,,,USA,Bourbon,batch edition four limited roses small
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)",9.08,0.23,5,$$$$$,Bourbon-like,,,USA,Bourbon,"#5 12 2014 buffalo collection experimental floor rye, trace"
Old Rip Van Winkle 10yo,9.05,0.2,8,$$$$$+,Bourbon-like,,,USA,Bourbon,10 old rip van winkle
1792 Full Proof Bourbon,8.95,0.29,4,$$$,Bourbon-like,,,USA,Bourbon,1792 full proof
Angel's Envy Cask Strength,8.95,0.37,8,$$$$$+,Bourbon-like,,,USA,Bourbon,angel cask envy strength
Colonel EH Taylor Single Barrel,8.95,0.31,6,$$$$,Bourbon-like,,,USA,Bourbon,barrel colonel eh single taylor
Michter's 20yo Single Barrel Bourbon,8.95,0.39,4,$$$$$+,Bourbon-like,,,USA,Bourbon,20 barrel michter single
Willett Family Estate 17yo Bourbon,8.94,0.55,3,$$$$$+,Bourbon-like,,,USA,Bourbon,17 estate family willett
Willett Family Estate Bourbon (all ages),8.94,0.26,12,$$$$,Bourbon-like,,,USA,Bourbon,ages all estate family willett
Blanton's Straight from the Barrel Bourbon,8.93,0.28,6,$$$$,Bourbon-like,,,USA,Bourbon,barrel blanton from straight the
Jack Daniel's 150th Anniversary,8.91,0.33,3,$$$,Bourbon-like,,,USA,Bourbon,150th anniversary daniel jack
Henry McKenna 10yo Single Barrel BiB,8.89,0.23,8,$$,Bourbon-like,,,USA,Bourbon,10 barrel bib henry mckenna single
Stagg Jr (batches 3-6),8.89,0.2,6,$$$$,Bourbon-like,,,USA,Bourbon,3 6 batches jr stagg
Booker's Small Batch Straight Bourbon,8.88,0.29,16,$$$,Bourbon-like,,,USA,Bourbon,batch booker small straight
W.L. Weller 12yo,8.87,0.24,12,$$$$$,Bourbon-like,,,USA,Bourbon,12 w.l. weller
Willett Family Estate 11yo Bourbon,8.87,0.22,4,$$$$$+,Bourbon-like,,,USA,Bourbon,11 estate family willett
Elijah Craig Barrel Proof,8.86,0.21,9,$$$$,Bourbon-like,,,USA,Bourbon,barrel craig elijah proof
Colonel EH Taylor Barrel Proof,8.85,0.21,6,$$$$,Bourbon-like,,,USA,Bourbon,barrel colonel eh proof taylor
Jefferson's 18yo Presidential Select,8.85,0.45,8,$$$$$+,Bourbon-like,,,USA,Bourbon,18 jefferson presidential select
Michter's 10yo Single Barrel Bourbon,8.83,0.44,8,$$$$$+,Bourbon-like,,,USA,Bourbon,10 barrel michter single
Eagle Rare 17yo,8.82,0.34,12,$$$$$+,Bourbon-like,,,USA,Bourbon,17 eagle rare
Russell's Reserve Single Barrel,8.82,0.46,8,$$$$,Bourbon-like,,,USA,Bourbon,barrel reserve russell single
Knob Creek Single Barrel Reserve Bourbon,8.8,0.27,10,$$$,Bourbon-like,,,USA,Bourbon,barrel creek knob reserve single
Baker’s Kentucky Straight Bourbon 7yo,8.79,0.3,19,$$$,Bourbon-like,,,USA,Bourbon,7 bakers kentucky straight
Maker's Mark 46,8.78,0.32,15,$$$,Bourbon-like,,,USA,Bourbon,46 maker mark
J.P. Wiser's Last Barrels,8.76,0.31,7,$$$,Bourbon-like,,,Canada,Blend,barrels j.p. last wiser
Pappy Van Winkle Family Reserve Bourbon 23yo,8.75,0.53,4,$$$$$+,Bourbon-like,,,USA,Bourbon,23 family pappy reserve van winkle
Old Forester Birthday (2012-2016),8.74,0.15,9,$$$$$,Bourbon-like,,,USA,Bourbon,2012 2016 birthday forester old
Wild Turkey Rare Breed,8.74,0.32,15,$$$,Bourbon-like,,,USA,Bourbon,breed rare turkey wild
Angel’s Envy Rye Whiskey (Rum-finished),8.73,0.6,7,$$$$,Bourbon-like,,,USA,Bourbon,angels envy finished rum rye
Blanton's Gold Kentucky Straight Bourbon,8.73,0.44,13,$$$$,Bourbon-like,,,USA,Bourbon,blanton gold kentucky straight
Elmer T. Lee Single Barrel Bourbon,8.73,0.42,12,$$,Bourbon-like,,,USA,Bourbon,barrel elmer lee single t.
Orphan Barrel Barterhouse Bourbon 20yo,8.73,0.4,12,$$$$$,Bourbon-like,,,USA,Bourbon,20 barrel barterhouse orphan
Elijah Craig 18yo,8.72,0.47,11,$$$$$,Bourbon-like,,,USA,Bourbon,18 craig elijah
Maker's Mark Cask Strength,8.72,0.38,9,$$$$,Bourbon-like,,,USA,Bourbon,cask maker mark strength
Willett Pot Still Reserve,8.72,0.5,9,$$$,Bourbon-like,,,USA,Bourbon,pot reserve still willett
Woodford Reserve Double Oaked,8.72,0.29,9,$$$$,Bourbon-like,,,USA,Bourbon,double oaked reserve woodford
Evan Williams Single Barrel,8.71,0.23,15,$$,Bourbon-like,,,USA,Bourbon,barrel evan single williams
Four Roses Single Barrel Bourbon,8.71,0.33,18,$$$,Bourbon-like,,,USA,Bourbon,four roses
Van Winkle Special Reserve 12yo Lot B,8.71,0.18,6,$$$$$+,Bourbon-like,,,USA,Bourbon,12 b lot reserve special van winkle
Elijah Craig 12yo,8.69,0.28,20,$$,Bourbon-like,,,USA,Bourbon,12 craig elijah
1792 Sweet Wheat Bourbon,8.67,0.23,6,$$$$,Bourbon-like,,,USA,Bourbon,1792 sweet wheat
Koval Single Barrel Bourbon,8.67,0.33,7,$$$,Bourbon-like,,,USA,Bourbon,barrel koval single
Old Weller Antique 107,8.67,0.44,10,$$,Bourbon-like,,,USA,Bourbon,107 antique old weller
FEW Bourbon,8.65,0.18,7,$$$,Bourbon-like,,,USA,Bourbon,few
Jefferson's Ocean Aged at Sea,8.64,0.38,3,$$$$,Bourbon-like,,,USA,Bourbon,aged at jefferson ocean sea
Old Grand-Dad Bourbon 114,8.64,0.24,9,$$,Bourbon-like,,,USA,Bourbon,114 dad grand old
Blanton's Single Barrel Bourbon,8.63,0.32,18,$$$,Bourbon-like,,,USA,Bourbon,barrel blanton single
Corner Creek Reserve Bourbon Whiskey,8.62,0.37,7,$$,Bourbon-like,,,USA,Bourbon,corner creek reserve
Colonel EH Taylor Small Batch (BiB),8.61,0.3,11,$$$$,Bourbon-like,,,USA,Bourbon,batch bib colonel eh small taylor
Jack Daniel's Master Distiller (all series),8.61,0.23,4,$$,Bourbon-like,,,USA,Bourbon,daniel distiller jack master
Knob Creek Small Batch 9yo Bourbon,8.61,0.4,21,$$,Bourbon-like,,,USA,Bourbon,9 batch creek knob small
1792 Single Barrel Bourbon,8.6,0.39,4,$$$,Bourbon-like,,,USA,Bourbon,1792 barrel single
1792 Ridgemont Reserve/Small Batch Bourbon,8.59,0.41,15,$$,Bourbon-like,,,USA,Bourbon,1792 batch reserve/small ridgemont
Ancient Age 10yo Kentucky Straight Bourbon,8.58,0.4,5,$,Bourbon-like,,,USA,Bourbon,10 age ancient kentucky straight
Buffalo Trace Bourbon,8.57,0.42,19,$$,Bourbon-like,,,USA,Bourbon,buffalo trace
Stagg Jr (all batches),8.57,0.4,16,$$$$,Bourbon-like,,,USA,Bourbon,all batches jr stagg
Bulleit 10yo,8.56,0.38,12,$$$,Bourbon-like,,,USA,Bourbon,10 bulleit
Stranahan's Colorado Whiskey,8.56,0.33,12,$$$$,Bourbon-like,,,USA,Bourbon,colorado stranahan
Eagle Rare 10yo,8.55,0.32,20,$$,Bourbon-like,,,USA,Bourbon,10 eagle rare
