Name,Rating,Rabble,Price
Corsair Nashville Bourbon,489,Unrated,$45
CW Irwin Bourbon,Unrated,Unrated,$28
Dancing Pines Bourbon,372,3.0,$50
David Nicholson 1843 Bourbon,589,4.0,$20
Depot Biggest Little Bourbon,507,Unrated,$36
Distillery 291 Colorado Bourbon,603,Unrated,$72
Duke Bourbon,433,3.0,$35
Eagle Rare 17yr Bourbon,361,4.0,$70
Eastside Distilling Burnside 4yr Bourbon,406,1.5,$28
Elijah Craig 18yr Bourbon,636,4.5,$120
Elijah Craig 21yr Bourbon,370,Unrated,$140
Elijah Craig 25yr Bourbon,Unrated,Unrated,$200
Elmer T Lee Bourbon,454,4.3,$30
Engine 49 Bourbon,Unrated,Unrated,$30
Evan Williams 1994 Vintage Bourbon,Unrated,Unrated,$30
Evan Williams 1996 Vintage Bourbon,Unrated,Unrated,$25
Evan Williams 1998 Vintage Bourbon,Unrated,Unrated,$25
Evan Williams 2000 Vintage Bourbon,Unrated,4.0,$25
Evan Williams 2002 Vintage Bourbon,603,4.0,$25
Evan Williams 2004 Vintage Bourbon,Unrated,4.2,$27
Evan Williams 2006 Vintage Bourbon,Unrated,3.0,$24
Evan Williams 2008 Vintage Bourbon,Unrated,3.8,$30
Evan Williams Bottled in Bond Bourbon,Unrated,4.0,$14
Evan Williams Green Label Bourbon,Unrated,2.3,$9
Ezra Brooks 90pf Bourbon,395,3.7,$18
Fighting Cock 6yr Bourbon,Unrated,3.1,$19
Five and 20 SB2BW Bourbon,428,Unrated,$50
Four Roses 2009 Barrel Strength Bourbon,Unrated,Unrated,$50
Four Roses 2011 Barrel Strength Bourbon,523,Unrated,$77
Four Roses 2014 Single Barrel Bourbon,399,Unrated,$99
Four Roses Bourbon,603,3.5,$19
Four Roses Single Barrel 100pf Bourbon,672,4.4,$38
Garrison Brothers 2008 Texas Bourbon,352,3.0,$78
Garrison Brothers Texas Bourbon,427,4.0,$80
George T Stagg Bourbon,370,4.0,$70
Griffs Cowboy Whiskey,266,Unrated,$30
Hancocks Presidents Reserve Bourbon,505,4.0,$50
Heaven Hill Old Style Bourbon,Unrated,2.6,$10
Henry McKenna 10yr Bottled in Bond Bourbon,579,3.8,$30
Heritage Distilling Dual Barrel Bourbon,403,Unrated,$29
Hidden Stock Bourbon,419,Unrated,$17
High West American Prairie Reserve Bourbon,466,3.0,$40
High Wire Southern Revival Madeira Finish Bourbon,453,Unrated,$70
Hirsch 20yr American Whiskey,320,4.0,$80
Homestead Barrel Proof Bourbon,406,4.8,$42
Hudson Baby Bourbon Whiskey,501,3.8,$44
Ironroot Republic Harbinger Bourbon,338,Unrated,$55
IW Harper Bourbon,424,Unrated,$35
J Henry and Sons 5yr Patton Road Reserve Bourbon,623,Unrated,$69
Jeffersons 15yr Reserve Bourbon,534,4.0,$56
Jeffersons 8yr Bourbon,457,3.7,$35
Jeffersons Reserve Groth Cask Bourbon,453,Unrated,$80
Jesse James Bourbon,264,3.2,$22
Jim Beam American Stillhouse 2013 7yr Bourbon,Unrated,Unrated,$40
Jim Beam Bonded 100 Proof Bourbon,546,2.0,$23
Jim Beam Choice Bourbon,Unrated,3.0,$26
Jim Beam Double Oak Bourbon,Unrated,3.8,$27
Jim Beam Signature Brown Rice Bourbon,593,Unrated,$50
Jim Beam Signature Craft Brandy Finished Bourbon,568,4.3,$40
Jim Beam Signature Quarter Cask Bourbon,550,5.0,$40
Jim Beam Signature Rolled Oat Bourbon,433,Unrated,$50
Jim Beam Single Barrel Bourbon,607,4.3,$40
John B Stetson Bourbon,296,Unrated,$30
John J Bowman Bourbon,617,4.3,$50
Johnny Drum Green Label Bourbon,361,Unrated,$16
Joseph Magnus Bourbon,603,Unrated,$92
JP Trodden Bourbon,584,Unrated,$63
JR Revelry Bourbon,487,Unrated,$35
JTS Brown Bourbon,Unrated,Unrated,$10
Kentucky Gentleman Bourbon,Unrated,3.6,$13
Kentucky Vintage Bourbon,361,4.0,$40
Kings County Barrel Strength Bourbon,338,Unrated,$30
Kings County Peated Bourbon,603,Unrated,$49
Kinsey Bourbon Whiskey,Unrated,Unrated,$40
Kirkland 7yr Tennessee Bourbon,559,Unrated,$30
Knob Creek Single Barrel Reserve Bourbon,530,4.8,$41
Koval Single Barrel Bourbon,Unrated,3.0,$50
Lazy River Bourbon,453,Unrated,$33
Litchfield Batchers Bourbon,419,Unrated,$45
Low Gap California Bourbon,554,Unrated,$65
Makers Mark Bourbon,Unrated,3.6,$30
Mark Twain Bourbon,Unrated,Unrated,$10
McKenzie Bourbon Whiskey,Unrated,5.0,$56
Michters 10yr Bourbon,Unrated,5.0,$93
Michters 25yr Single Barrel Bourbon,Unrated,3.0,$350
Michters US1 Toasted Barrel Bourbon,662,Unrated,$53
Most Wanted Bourbon Whiskey,Unrated,3.0,$36
Mulligans Bourbon,486,Unrated,$24
Noahs Mill Bourbon,523,3.6,$55
Old Bardstown 10yr Estate Bottled Bourbon,361,Unrated,$25
Old Bardstown Gold Label Bourbon,361,Unrated,$15
Old Crow Bourbon,Unrated,3.2,$11
Old Fitzgeralds 1849 Bourbon,Unrated,3.7,$18
Old Forester 1897 Bottled in Bond Bourbon,507,4.0,$50
Old Forester 2006 Birthday Bourbon,Unrated,Unrated,$40
Old Forester 2008 Birthday Bourbon,Unrated,Unrated,$35
Old Forester 2010 Birthday Bourbon,352,Unrated,$50
Old Forester 2012 Birthday Bourbon,403,Unrated,$50
Old Forester 2014 Birthday Bourbon,481,Unrated,$60
Old Forester Bourbon,473,3.3,$20
Old Forester Signature Bourbon,562,4.1,$23
Old Grand Dad 114 Proof Bourbon,Unrated,4.0,$25
Old Hickory Blended Bourbon,485,Unrated,$30
Old Log Cabin Bourbon,Unrated,Unrated,$40
Old Pogue Bourbon,Unrated,3.5,$49
Old Samuel Blended Bourbon,370,Unrated,$25
Old Virginia 6yr Bourbon,297,Unrated,$20
Oola Waitsburg Bourbon,484,4.0,$48
Orphan Barrel Barterhouse 20yr Bourbon,601,4.0,$75
Orphan Barrel Lost Prophet 22yr Bourbon,586,5.0,$120
Orphan Barrel Rhetoric 20yr Bourbon,378,4.5,$85
Orphan Barrel Rhetoric 22yr Bourbon,624,Unrated,$110
Paddleford Creek Bourbon,398,Unrated,$20
Pappy Van Winkles 15yr Bourbon,545,4.7,$66
Pappy Van Winkles 23y Bourbon,361,5.0,$250
Parkers Heritage 10yr Promise of Hope Bourbon,297,5.0,$90
Parkers Heritage 27yr Bourbon,Unrated,Unrated,$240
Parkers Heritage Bourbon,Unrated,5.0,$150
Penny Packer Bourbon,305,3.0,$23
Platte Valley Corn Whiskey,297,4.0,$25
Pure Kentucky XO Bourbon,361,Unrated,$30
Quincy Street Laughton Bros Illinois Bourbon,378,Unrated,$56
Rabbit Hole PX Sherry Cask Bourbon,321,Unrated,$80
Rebel Reserve Bourbon,Unrated,3.7,$20
Rebel Yell Bourbon,612,2.8,$14
Rebellion Bourbon,346,Unrated,$45
Red River Texas Bourbon,297,Unrated,$30
Redemption High Rye Bourbon,455,3.3,$29
Ridge Reserve Black Label Bourbon,411,Unrated,$37
Rock Town Bourbon,433,Unrated,$35
Rough Rider Happy Warrior Cask Bourbon,403,Unrated,$70
Rowans Creek 12yr Bourbon,436,4.3,$40
Russells Reserve Single Barrel Bourbon,459,4.0,$50
Sam Houston Bourbon,Unrated,Unrated,$34
Six and Twenty 5 Grain Bourbon,395,Unrated,$36
Smoke Wagon Bourbon,507,Unrated,$2016
Smooth Ambler Old Scout Bourbon,556,2.8,$35
Smooth Ambler Yearling Bourbon,361,Unrated,$27
Soldier Valley Small Batch Bourbon,557,Unrated,$40
Spirit of America Bourbon,398,Unrated,$40
Stagg Jr Barrel Proof Bourbon,650,4.8,$50
Syntax Bourbon,378,Unrated,$45
Tatoosh Bourbon,510,Unrated,$46
Temptation Bourbon,Unrated,Unrated,$25
Tom Moore Bottled in Bond Bourbon,Unrated,3.0,$20
Trails End 8yr Oregon Oak Bourbon,609,Unrated,$45
Tucker Bourbon,419,Unrated,$44
Two Stars Bourbon,462,4.0,$19
V Bourbon,Unrated,Unrated,$40
Very Old Barton Bottled in Bond Bourbon,Unrated,Unrated,$0
Virginia Gentleman Bourbon,Unrated,Unrated,$12
Watershed Distillery Bourbon,Unrated,Unrated,$40
Watkins Select Bourbon,557,2.0,$15
Weller Antique 107 Wheated Bourbon,Unrated,4.3,$27
West of Kentucky No 1 Bourbon,411,Unrated,$60
Western Gold Bourbon,Unrated,5.0,$15
Whiskey Sister Bourbon,378,3.0,$25
Widow Jane 7yr Bourbon,403,4.0,$56
Widow Jane Baby Jane Bourbon,419,Unrated,$125
Wild Turkey 101 8yr Bourbon,Unrated,Unrated,$40
Wild Turkey 101 Kentucky Spirit Bourbon,531,4.7,$45
Wild Turkey 14yr Bourbon Tradition,352,5.0,$120
Wild Turkey 81 Bourbon,481,3.4,$24
Wild Turkey Bourbon 80pf,Unrated,Unrated,$17
Wild Turkey Diamond Anniversary Bourbon,Unrated,Unrated,$125
Willett 6yr Single Barrel Bourbon,Unrated,Unrated,$50
Willett Pot Still Reserve Bourbon,Unrated,4.2,$40
Willies Bighorn Bourbon,313,Unrated,$30
Witherspoons Texas Bourbon,458,3.9,$40
Woodford Reserve 1838 Sweet Mash Bourbon,Unrated,3.0,$90
Woodford Reserve Double Oaked Bourbon,623,3.2,$55
Woodford Reserve Maple Wood Finish Bourbon,436,5.0,$90
Woodstone Creek Bourbon,Unrated,1.0,$100
Yankee Distillers Bourbon,419,Unrated,$60
Yellow Rose Outlaw Bourbon,545,Unrated,$65
Zachariah Harris Bourbon,430,3.0,$13
