Name,Rating,Rabble,Price
Corner Creek Bourbon,458,3.3,$30
Cougar Bourbon,Unrated,Unrated,$30
Cyrus Noble Bourbon,378,Unrated,$28
Dark Corner Lewis Redmond Bourbon,365,5.0,$50
Defiance High Rye Bourbon,341,Unrated,$30
Devils Share Bourbon Whiskey,649,Unrated,$75
Dry Fly 101 Bourbon,453,Unrated,$65
Eagle Rare 10yr Bourbon,666,4.1,$30
Early Times 354 Bourbon,375,3.5,$16
Elijah Craig 12yr Barrel Proof Bourbon,469,4.4,$40
Elijah Craig 20yr Bourbon,Unrated,Unrated,$130
Elijah Craig 23yr Bourbon,640,3.0,$200
Elijah Craig Small Batch Bourbon,507,3.8,$30
Engine 49 Barrel Strength Bourbon,Unrated,Unrated,$40
Evan Williams 1783 Bourbon,370,3.8,$15
Evan Williams 1995 Vintage Bourbon,Unrated,Unrated,$25
Evan Williams 1997 Vintage Bourbon,Unrated,Unrated,$25
Evan Williams 1999 Vintage Bourbon,Unrated,Unrated,$25
Evan Williams 2001 Vintage Bourbon,523,4.8,$25
Evan Williams 2003 Vintage Bourbon,583,3.1,$26
Evan Williams 2005 Vintage Bourbon,Unrated,4.1,$27
Evan Williams 2007 Vintage Bourbon,419,2.5,$28
Evan Williams 2009 Vintage Bourbon,Unrated,4.5,$30
Evan Williams Extra Aged Bourbon,Unrated,3.1,$12
Ezra Brooks 12yr Single Barrel Bourbon,395,4.0,$49
Few Bourbon,365,3.0,$50
Filibuster Dual Cask Bourbon,454,Unrated,$43
Flatboat Bourbon,497,Unrated,$25
Four Roses 2010 Small Batch Bourbon,577,4.5,$75
Four Roses 2013 Single Barrel Whiskey,454,Unrated,$85
Four Roses 2015 Small Batch Bourbon,653,Unrated,$400
Four Roses Mariage Collection Bourbon,Unrated,Unrated,$70
Four Roses Small Batch 90 Proof Bourbon,606,3.9,$28
Garrison Brothers 2014 Texas Bourbon,313,Unrated,$80
George Remus Bourbon,Unrated,4.1,$30
Great Northern Vanguard Whiskey,429,Unrated,$38
Gun Figher 7yr American Bourbon,378,Unrated,$65
Hayes Parker Bourbon,511,1.0,$13
Henry DuYores Bourbon,499,Unrated,$40
Henry McKenna Bourbon,Unrated,4.0,$14
Hidden Marsh Lone Loggers Bourbon,297,Unrated,$45
High West American Prairie Bourbon,Unrated,Unrated,$40
High Wire Southern Revival Bourbon,403,Unrated,$88
Hillrock Solera Aged Bourbon,689,5.0,$80
Hirsch Small Batch Bourbon,574,4.5,$40
Hookers House Bourbon,361,Unrated,$36
Hudson Four Grain Bourbon Whiskey,554,3.2,$44
IW Harper 15yr Bourbon,614,Unrated,$75
J Henry and Sons 5yr Bourbon,407,4.0,$49
James E Pepper 1776 Bourbon,545,4.4,$30
Jeffersons 18yr Presidential Select,352,5.0,$90
Jeffersons Ocean Aged Bourbon,Unrated,3.5,$99
Jeremiah Weed Blended Bourbon Whiskey,Unrated,5.0,$18
Jim Beam 7yr Bourbon,Unrated,4.0,$35
Jim Beam Black Bourbon,560,3.8,$23
Jim Beam Bourbon,382,2.7,$27
Jim Beam Devils Cut Bourbon,514,3.6,$23
Jim Beam Masterpiece Bourbon,627,Unrated,$200
Jim Beam Signature Craft 12yr Bourbon,473,4.0,$43
Jim Beam Signature Craft High Rye Bourbon,491,Unrated,$50
Jim Beam Signature Red Wheat Bourbon,586,2.0,$50
Jim Beam Signature Triticale Bourbon,395,Unrated,$50
Jimmys Texas Bourbon,395,Unrated,$60
John E Fitzgerald 20yr Bourbon,603,Unrated,$300
Johnny Drum Black Label Bourbon,361,1.0,$20
Johnny Drum Private Stock Bourbon,Unrated,4.4,$45
Journeyman Featherbone Organic Bourbon,297,4.0,$47
JR Ewing Private Reserve 4yr Bourbon,428,Unrated,$35
JTS Brown 10yr Bourbon,Unrated,Unrated,$12
JW Dant Bottled in Bond Bourbon,Unrated,4.5,$15
Kentucky Tavern,388,3.0,$11
Kentuckys Old Reserve Bourbon,264,Unrated,$10
Kings County Distillery Bourbon,313,Unrated,$45
Kings County Wine Finish Bourbon,419,Unrated,$49
Kirkland 7yr Small Batch Bourbon,Unrated,2.6,$20
Knob Creek Bourbon,692,4.0,$31
Koenig Seven Devils Bourbon,481,3.0,$30
Larceny Bourbon,581,3.8,$25
Lexington Bourbon Whiskey,427,3.2,$30
Local Choice Bourbon,297,Unrated,$25
Makers Mark 46 Bourbon,549,3.9,$35
Makers Mark Cask Strength Bourbon,403,3.7,$40
McCormick Bourbon,Unrated,Unrated,$12
Metzes Select 2015 Indiana Bourbon,603,Unrated,$75
Michters 20yr Single Barrel Bourbon,353,Unrated,$450
Michters US1 Bourbon,Unrated,3.8,$44
Mill Street Bourbon,273,Unrated,$39
Moylans Cask Strength Bourbon,623,Unrated,$69
New Holland Beer Barrel Bourbon,321,2.7,$35
Northern Waters Jimmys Room Bourbon,Unrated,Unrated,$35
Old Bardstown Black Label Bourbon,361,2.0,$20
Old Charter Bourbon,Unrated,3.7,$13
Old Ezra 7yr 101 Proof Bourbon,481,3.0,$20
Old Forester 1870 Original Batch Bourbon,602,3.0,$45
Old Forester 2005 Birthday Bourbon,Unrated,Unrated,$38
Old Forester 2007 Birthday Bourbon,Unrated,Unrated,$37
Old Forester 2009 Birthday Bourbon,Unrated,Unrated,$40
Old Forester 2011 Birthday Bourbon,569,Unrated,$50
Old Forester 2013 Birthday Bourbon,378,5.0,$55
Old Forester 2015 Birthday Bourbon,519,Unrated,$70
Old Forester Repeal Bourbon,Unrated,3.0,$17
Old Grand Dad 100 Proof Bourbon,576,4.0,$25
Old Grand Dad 86 Proof Bourbon,Unrated,3.5,$10
Old Hickory Straight Bourbon,395,Unrated,$40
Old Medley 12 Year Bourbon,Unrated,Unrated,$48
Old Rip Van Winkle 10yr Bourbon,564,4.5,$40
Old Taylor 6yr Bourbon,Unrated,2.0,$7
Old Whiskey River Bourbon,Unrated,Unrated,$22
Origine Bourbon,Unrated,Unrated,$20
Orphan Barrel Forged Oak 15yr Bourbon,399,2.0,$65
Orphan Barrel Old Blowhard 26yr Bourbon,509,Unrated,$150
Orphan Barrel Rhetoric 21yr Bourbon,603,Unrated,$110
OYO Michelone Bourbon,411,Unrated,$45
Painted Stave Diamond State Bourbon,338,Unrated,$40
Pappy Van Winkles 20yr Bourbon,557,4.0,$120
Parkers Heritage 10yr Cognac Finish Bourbon,600,Unrated,$80
Parkers Heritage 10yr Wheated Bourbon,436,Unrated,$80
Parkers Heritage Blend of Mashbills Bourbon,458,Unrated,$80
Peg Leg Porker Tennessee Bourbon,509,Unrated,$45
Phillips Union,Unrated,Unrated,$18
Prichards Double Barrel Bourbon,Unrated,4.3,$40
Quincy Street Bourbon Spring,455,Unrated,$36
Rabbit Hole Bourbon,387,Unrated,$50
Ranger Creek 36 Texas Bourbon,407,Unrated,$75
Rebel Yell 10yr Single Barrel Bourbon,Unrated,4.5,$60
Rebell Yell Small Batch Reserve Bourbon,424,Unrated,$25
Red Handed Bourbon,329,Unrated,$30
Redemption Bourbon,419,Unrated,$29
Reservoir Bourbon,424,Unrated,$85
Rock Hill Farms Single Barrel Bourbon,Unrated,5.0,$50
Rocking Angel Bourbon,264,Unrated,$18
Rough Rider Straight Bourbon,354,2.0,$36
Russells Reserve 10yr Bourbon,531,4.0,$35
Salado Texas Whiskey,455,Unrated,$34
Seventeen Twelve North Carolina Bourbon,507,Unrated,$33
Sixth Street Bourbon,507,Unrated,$50
Smooth Ambler Contradiction Bourbon,395,Unrated,$50
Smooth Ambler Old Scout Ten Bourbon,Unrated,Unrated,$40
Smugglers Notch Bourbon,507,Unrated,$49
Southshot Straight Bourbon Whiskey,454,1.0,$22
St George Breaking and Entering Bourbon,436,4.0,$35
Stein Distillery 2yr Bull Bourbon,576,Unrated,$50
Taos Lightning Bourbon,454,Unrated,$41
Temperance Trader Bourbon,Unrated,Unrated,$30
Ten High Bourbon,Unrated,1.2,$9
Town Branch Bourbon,459,4.0,$27
Traverse City Bourbon,370,Unrated,$28
Two James Grass Widow Bourbon,378,Unrated,$60
Union Horse Reserve Bourbon,520,Unrated,$47
Van Winkle 12yr Bourbon,Unrated,4.2,$60
Very Old Barton Bourbon,Unrated,3.3,$12
War Eagle Bourbon,480,Unrated,$18
Wathens Single Barrel Bourbon,Unrated,Unrated,$35
Weller 12yr Bourbon,610,4.2,$25
Weller Special Reserve Bourbon,Unrated,4.0,$20
West of Kentucky No 2 Bourbon,313,Unrated,$58
Whiskey Acres Bourbon,419,Unrated,$39
Widow Jane 10yr Bourbon,419,Unrated,$64
Widow Jane 8yr Bourbon,545,4.5,$60
Widow Jane Wapsie Valley Bourbon,370,Unrated,$38
Wild Turkey 101 Bourbon,633,4.1,$24
Wild Turkey 12yr Bourbon,Unrated,Unrated,$45
Wild Turkey 17yr Masters Keep Bourbon,665,Unrated,$150
Wild Turkey American Spirit Bourbon,352,Unrated,$90
Wild Turkey Bourbon 86 8pf,Unrated,3.0,$30
Wild Turkey Rare Breed Bourbon,653,4.2,$45
Willett 8yr Single Barrel Bourbon,Unrated,Unrated,$55
William Larue Weller Bourbon,557,4.3,$80
Winchester Bourbon,519,4.0,$23
Woodford Reserve 1838 Style White Corn Bourbon,Unrated,Unrated,$100
Woodford Reserve Bourbon,482,4.2,$35
Woodford Reserve Four Wood Bourbon,503,4.0,$100
Woodford Reserve Sonoma Cutrer Bourbon,382,Unrated,$100
Wyoming Whiskey Bourbon,Unrated,1.0,$50
Yellow Rose Double Barrel Bourbon,557,3.0,$40
Yellowstone Select Bourbon,419,Unrated,$40
